2024-09-27 20:39:13,611 - INFO - objects_num_before_nms: 30, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 21907, _objects_num_after_nms: 1536, _person_num_after_nms: 1535, _car_num_after_nms: 0
2024-09-27 20:39:20,478 - INFO - objects_num_before_nms: 18, objects_num_after_nms: 2, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 19765, _objects_num_after_nms: 1242, _person_num_after_nms: 1242, _car_num_after_nms: 0
2024-09-27 20:39:20,661 - INFO - objects_num_before_nms: 5, objects_num_after_nms: 2, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 19758, _objects_num_after_nms: 1234, _person_num_after_nms: 1234, _car_num_after_nms: 0
2024-09-27 20:39:27,317 - INFO - objects_num_before_nms: 6, objects_num_after_nms: 2, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 20626, _objects_num_after_nms: 1278, _person_num_after_nms: 1277, _car_num_after_nms: 0
2024-09-27 20:39:27,503 - INFO - objects_num_before_nms: 2, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 20383, _objects_num_after_nms: 1269, _person_num_after_nms: 1267, _car_num_after_nms: 1
2024-09-27 20:39:34,722 - INFO - objects_num_before_nms: 2, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 21465, _objects_num_after_nms: 1537, _person_num_after_nms: 1536, _car_num_after_nms: 0
2024-09-27 20:39:34,928 - INFO - objects_num_before_nms: 4, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 21484, _objects_num_after_nms: 1538, _person_num_after_nms: 1537, _car_num_after_nms: 0
2024-09-27 20:39:41,638 - INFO - objects_num_before_nms: 30, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 21123, _objects_num_after_nms: 1491, _person_num_after_nms: 1491, _car_num_after_nms: 0
2024-09-27 20:39:41,838 - INFO - objects_num_before_nms: 19, objects_num_after_nms: 3, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 21010, _objects_num_after_nms: 1482, _person_num_after_nms: 1482, _car_num_after_nms: 0
2024-09-27 20:39:48,883 - INFO - objects_num_before_nms: 10, objects_num_after_nms: 2, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 22083, _objects_num_after_nms: 1496, _person_num_after_nms: 1496, _car_num_after_nms: 0
